cd_mun,nm_mun,sigla_uf,cd_rgi,cd_rgint,area_km2,cd_tse
1100015,Alta Floresta D'Oeste,RO,110005,1102,7067.127,310
1100023,Ariquemes,RO,110002,1101,4426.127,78
1100031,Cabixi,RO,110006,1102,1314.352,450
1100049,Cacoal,RO,110005,1102,3792.998,94
1100056,Cerejeiras,RO,110006,1102,2783.297,272
1100064,Colorado do Oeste,RO,110006,1102,1451.062,230
1100072,Corumbiara,RO,110006,1102,3060.321,655
1100080,Costa Marques,RO,110004,1102,4987.159,213
1100098,Espigão D'Oeste,RO,110005,1102,4518.039,256
1100106,Guajará-Mirim,RO,110001,1101,24856.877,19
1100114,Jaru,RO,110003,1101,2944.126,159
1100122,Ji-Paraná,RO,110004,1102,6896.649,51
1100130,Machadinho D'Oeste,RO,110003,1101,8509.166,396
1100148,Nova Brasilândia D'Oeste,RO,110005,1102,1703.008,370
1100155,Ouro Preto do Oeste,RO,110004,1102,1969.878,175
1100189,Pimenta Bueno,RO,110005,1102,6241.017,116
1100205,Porto Velho,RO,110001,1101,34090.463,35
1100254,Presidente Médici,RO,110004,1102,1758.464,191
1100262,Rio Crespo,RO,110002,1101,1717.64,647
1100288,Rolim de Moura,RO,110005,1102,1457.811,299
1100296,Santa Luzia D'Oeste,RO,110005,1102,1197.796,353
1100304,Vilhena,RO,110006,1102,11708.569,132
1100320,São Miguel do Guaporé,RO,110004,1102,6789.605,418
1100338,Nova Mamoré,RO,110001,1101,10070.515,434
1100346,Alvorada D'Oeste,RO,110004,1102,3029.193,337
1100379,Alto Alegre dos Parecis,RO,110005,1102,3958.273,736
1100403,Alto Paraíso,RO,110002,1101,2652.03,639
1100452,Buritis,RO,110002,1101,3265.811,779
1100502,Novo Horizonte do Oeste,RO,110005,1102,843.446,515
1100601,Cacaulândia,RO,110002,1101,1962.032,620
1100700,Campo Novo de Rondônia,RO,110002,1101,3442.005,671
1100809,Candeias do Jamari,RO,110001,1101,6843.666,477
1100908,Castanheiras,RO,110005,1102,892.841,531
1100924,Chupinguaia,RO,110006,1102,5117.301,809
1100940,Cujubim,RO,110002,1101,3863.948,680
1101005,Governador Jorge Teixeira,RO,110003,1101,5067.386,612
1101104,Itapuã do Oeste,RO,110001,1101,4081.555,493
1101203,Ministro Andreazza,RO,110005,1102,798.083,604
1101302,Mirante da Serra,RO,110004,1102,1191.875,574
1101401,Monte Negro,RO,110002,1101,1931.404,663
1101435,Nova União,RO,110004,1102,807.17,744
1101450,Parecis,RO,110005,1102,2548.683,701
1101468,Pimenteiras do Oeste,RO,110006,1102,6014.733,787
1101476,Primavera de Rondônia,RO,110005,1102,605.692,728
1101484,São Felipe D'Oeste,RO,110005,1102,541.648,710
1101492,São Francisco do Guaporé,RO,110004,1102,10948.637,795
1101500,Seringueiras,RO,110004,1102,4443.991,582
1101559,Teixeirópolis,RO,110004,1102,459.933,752
1101609,Theobroma,RO,110003,1101,2197.412,590
1101708,Urupá,RO,110004,1102,831.855,566
1101757,Vale do Anari,RO,110003,1101,3135.107,698
1101807,Vale do Paraíso,RO,110004,1102,965.661,558
1200013,Acrelândia,AC,120001,1201,1811.612,1120
1200054,Assis Brasil,AC,120002,1201,4968.527,1570
1200104,Brasiléia,AC,120002,1201,3928.821,1058
1200138,Bujari,AC,120001,1201,3035.547,1007
1200179,Capixaba,AC,120001,1201,1705.236,1015
1200203,Cruzeiro do Sul,AC,120004,1202,8793.341,1074
1200252,Epitaciolândia,AC,120002,1201,1652.715,1112
1200302,Feijó,AC,120005,1202,27946.684,1139
1200328,Jordão,AC,120005,1202,5346.443,1104
1200336,Mâncio Lima,AC,120004,1202,5414.073,1090
1200344,Manoel Urbano,AC,120003,1201,10615.134,1554
1200351,Marechal Thaumaturgo,AC,120004,1202,8185.635,1040
1200385,Plácido de Castro,AC,120001,1201,1952.531,1511
1200393,Porto Walter,AC,120004,1202,6452.756,1066
1200401,Rio Branco,AC,120001,1201,8834.832,1392
1200427,Rodrigues Alves,AC,120004,1202,3082.396,1082
1200435,Santa Rosa do Purus,AC,120003,1201,6144.95,1031
1200450,Senador Guiomard,AC,120001,1201,2320.956,1538
1200500,Sena Madureira,AC,120003,1201,23748.843,1457
1200609,Tarauacá,AC,120005,1202,20169.487,1473
1200708,Xapuri,AC,120002,1201,5350.3,1490
1200807,Porto Acre,AC,120001,1201,2603.942,1023
1300029,Alvarães,AM,130005,1302,5964.611,2895
1300060,Amaturá,AM,130006,1302,4658.391,2917
1300086,Anamã,AM,130004,1301,2382.521,2933
1300102,Anori,AM,130003,1301,6084.881,2038
1300144,Apuí,AM,130009,1303,53617.189,2003
1300201,Atalaia do Norte,AM,130006,1302,76313.455,2054
1300300,Autazes,AM,130001,1301,7564.727,2070
1300409,Barcelos,AM,130002,1301,122453.454,2097
1300508,Barreirinha,AM,130010,1304,5658.561,2119
1300607,Benjamin Constant,AM,130006,1302,9100.432,2135
1300631,Beruri,AM,130003,1301,17415.813,2950
1300680,Boa Vista do Ramos,AM,130010,1304,2613.997,2976
1300706,Boca do Acre,AM,130008,1303,21949.686,2151
1300805,Borba,AM,130001,1301,44644.015,2178
1300839,Caapiranga,AM,130004,1301,9743.918,2992
1300904,Canutama,AM,130008,1303,33671.791,2194
