,n_validos,faltantes,pct_faltantes,media,desvio_padrao,minimo,q1,mediana,q3,maximo
populacao_2025,5570.0,0,0.0,38315.11,217438.598,856.0,5347.25,11358.5,25299.5,11904961.0
pib_per_capita,5570.0,0,0.0,39026.01,38854.277,6771.94,16424.438,29107.21,48287.428,678813.83
ips_geral,5570.0,0,0.0,60.438,4.38,42.44,57.5,60.53,63.63,73.1
ips_seguranca_pessoal,5570.0,0,0.0,63.768,14.95,10.65,55.45,66.985,72.228,85.22
ips_homicidios,5570.0,0,0.0,17.498,16.027,0.0,6.332,13.14,24.26,220.27
ips_assassinatos_jovens,5570.0,0,0.0,32.698,38.698,0.0,3.062,20.96,46.615,552.98
ips_assassinatos_mulheres,5570.0,0,0.0,3.422,4.907,0.0,0.0,1.97,5.15,89.2
ips_mortes_transito,5570.0,0,0.0,19.854,15.641,0.0,9.972,16.73,25.758,196.05
ips_violencia_mulheres,5570.0,0,0.0,200.162,230.885,0.0,38.372,127.28,279.32,2525.71
ips_acesso_conhecimento_basico,5570.0,0,0.0,75.405,7.039,37.61,70.96,76.19,80.748,90.98
ips_abandono_fundamental,5570.0,0,0.0,0.99,1.428,0.0,0.18,0.53,1.3,25.22
ips_abandono_medio,5570.0,0,0.0,4.364,3.388,0.0,1.72,3.7,6.26,24.26
ips_evasao_medio,5570.0,0,0.0,8.724,3.226,1.27,6.4,8.3,10.64,24.46
ips_nota_mediana_enem,5570.0,0,0.0,511.414,34.254,405.95,486.382,508.93,533.795,652.96
ideb_anos_iniciais,5517.0,53,0.95,6.22,0.873,3.3,5.6,6.2,6.8,10.0
ideb_anos_finais,5543.0,27,0.48,5.114,0.738,2.8,4.6,5.1,5.6,9.3
ideb_ensino_medio,5518.0,52,0.93,4.466,0.582,2.4,4.1,4.5,4.8,7.2
