cd_mun,nm_mun,sigla_uf,cd_rgi,cd_rgint,area_km2,cd_tse,ips_geral,populacao_2025,pib_per_capita,ips_seguranca_pessoal,ips_homicidios,ips_assassinatos_jovens,ips_assassinatos_mulheres,ips_mortes_transito,ips_violencia_mulheres,ips_violencia_negros,ips_violencia_indigenas,ips_acesso_conhecimento_basico,ips_acesso_educ_superior,ips_abandono_fundamental,ips_abandono_medio,ips_distorcao_idade_serie_medio,ips_evasao_medio,ips_ideb_fundamental_ref,ips_reprovacao_medio,ips_nota_mediana_enem,ips_empregados_ensino_superior,ideb_anos_iniciais,ideb_anos_iniciais_ano_ref,ideb_anos_finais,ideb_anos_finais_ano_ref,ideb_ensino_medio,ideb_ensino_medio_ano_ref
1100015,Alta Floresta D'Oeste,RO,110005,1102,7067.127,310,54.9,22787.0,45918.42,64.43,15.51,19.8,5.28,18.02,509.69,200.46,75.52,76.48,35.78,1.88,1.6,21.14,8.72,5.08,3.8,515.67,48.47,5.7,2025.0,5.0,2025.0,4.5,2025.0
1100023,Ariquemes,RO,110002,1101,4426.127,78,57.97,109170.0,40155.86,60.79,23.4,37.01,6.4,27.32,344.78,160.1,164.95,74.81,36.01,0.94,5.02,20.86,8.64,4.93,6.08,537.83,46.07,5.7,2025.0,4.9,2025.0,4.2,2025.0
1100031,Cabixi,RO,110006,1102,1314.352,450,56.2,5664.0,53112.99,58.79,20.56,19.29,13.8,30.37,42.49,115.94,,80.93,31.78,0.08,0.76,15.2,8.28,5.1,1.44,502.56,41.21,6.0,2025.0,5.0,2025.0,4.0,2025.0
1100049,Cacoal,RO,110005,1102,3792.998,94,62.84,98280.0,39158.2,57.11,22.6,25.86,4.57,78.98,226.7,107.4,46.57,80.07,40.83,0.58,3.76,14.62,6.52,5.39,3.0,543.34,56.35,6.2,2025.0,5.0,2025.0,4.2,2025.0
1100056,Cerejeiras,RO,110006,1102,2783.297,272,61.72,16966.0,59317.99,59.78,28.02,25.07,7.0,26.9,51.47,58.54,,76.2,33.26,0.26,4.42,17.4,11.0,5.38,6.14,525.18,42.81,6.2,2025.0,5.0,2025.0,3.8,2025.0
1100064,Colorado do Oeste,RO,110006,1102,1451.062,230,62.42,16508.0,35188.94,60.58,21.16,33.57,11.82,18.88,54.96,0.0,,82.38,32.79,0.14,0.84,12.96,5.54,5.57,5.58,546.89,36.21,6.8,2025.0,5.2,2025.0,4.6,2025.0
1100072,Corumbiara,RO,110006,1102,3060.321,655,57.43,7968.0,63951.56,78.7,12.27,0.0,0.0,29.22,10.32,0.0,,78.48,28.62,0.1,0.56,17.72,13.1,5.19,0.68,499.66,39.83,7.0,2025.0,4.6,2025.0,4.3,2025.0
1100080,Costa Marques,RO,110004,1102,4987.159,213,55.38,13510.0,30639.75,59.44,26.39,28.98,12.33,14.54,186.63,110.06,39.02,72.25,26.15,1.86,0.68,26.68,10.42,4.6,9.32,471.34,35.1,5.8,2025.0,4.4,2025.0,4.4,2025.0
1100098,Espigão D'Oeste,RO,110005,1102,4518.039,256,57.56,32842.0,31178.76,61.86,18.51,25.84,7.48,25.25,66.11,60.15,12.44,80.07,29.28,1.5,1.58,12.98,8.16,5.47,2.02,506.08,36.8,6.5,2025.0,4.9,2025.0,3.4,2025.0
1100106,Guajará-Mirim,RO,110001,1101,24856.877,19,56.15,43594.0,26265.86,67.15,15.11,18.34,2.79,12.34,153.18,53.08,51.25,68.13,26.04,4.82,3.88,29.6,9.6,4.52,6.4,493.49,32.95,5.4,2025.0,4.6,2025.0,4.1,2025.0
