Município,UF,chave,cd_mun,status
Gavião Peixoto,SP,GAVIAO PEIXOTO/SP,3516853,OK
Jundiaí,SP,JUNDIAI/SP,3525904,OK
Osvaldo Cruz,SP,OSVALDO CRUZ/SP,3534609,OK
Pompéia,SP,POMPEIA/SP,3540002,OK
Fernando de Noronha,PE,FERNANDO DE NORONHA/PE,2605459,OK
Curitiba,PR,CURITIBA/PR,4106902,OK
Nova Lima,MG,NOVA LIMA/MG,3144805,OK
Gabriel Monteiro,SP,GABRIEL MONTEIRO/SP,3516507,OK
Cornélio Procópio,PR,CORNELIO PROCOPIO/PR,4106407,OK
Luzerna,SC,LUZERNA/SC,4210035,OK
Itupeva,SP,ITUPEVA/SP,3524006,OK
Rafard,SP,RAFARD/SP,3542107,OK
Presidente Lucena,RS,PRESIDENTE LUCENA/RS,4315149,OK
Adamantina,SP,ADAMANTINA/SP,3500105,OK
Maringá,PR,MARINGA/PR,4115200,OK
Alto Alegre,RS,ALTO ALEGRE/RS,4300554,OK
Ribeirão Preto,SP,RIBEIRAO PRETO/SP,3543402,OK
Brasília,DF,BRASILIA/DF,5300108,OK
Barra Bonita,SP,BARRA BONITA/SP,3505302,OK
Araraquara,SP,ARARAQUARA/SP,3503208,OK
Águas de São Pedro,SP,AGUAS DE SAO PEDRO/SP,3500600,OK
São Paulo,SP,SAO PAULO/SP,3550308,OK
Picada Café,RS,PICADA CAFE/RS,4314423,OK
Águas da Prata,SP,AGUAS DA PRATA/SP,3500402,OK
Nova Boa Vista,RS,NOVA BOA VISTA/RS,4312955,OK
Cândido Rodrigues,SP,CANDIDO RODRIGUES/SP,3510104,OK
Quatro Pontes,PR,QUATRO PONTES/PR,4120853,OK
Córrego do Bom Jesus,MG,CORREGO DO BOM JESUS/MG,3119906,OK
Ouro Branco,MG,OURO BRANCO/MG,3145901,OK
Hortolândia,SP,HORTOLANDIA/SP,3519071,OK
Campinas,SP,CAMPINAS/SP,3509502,OK
Buritizal,SP,BURITIZAL/SP,3508207,OK
São João da Boa Vista,SP,SAO JOAO DA BOA VISTA/SP,3549102,OK
Jaguariúna,SP,JAGUARIUNA/SP,3524709,OK
Joinville,SC,JOINVILLE/SC,4209102,OK
Quintana,SP,QUINTANA/SP,3542008,OK
São Bernardo do Campo,SP,SAO BERNARDO DO CAMPO/SP,3548708,OK
Inúbia Paulista,SP,INUBIA PAULISTA/SP,3520806,OK
Santo Anastácio,SP,SANTO ANASTACIO/SP,3547700,OK
São Caetano do Sul,SP,SAO CAETANO DO SUL/SP,3548807,OK
Campo Grande,MS,CAMPO GRANDE/MS,5002704,OK
Cocal do Sul,SC,COCAL DO SUL/SC,4204251,OK
São Carlos,SP,SAO CARLOS/SP,3548906,OK
Uberlândia,MG,UBERLANDIA/MG,3170206,OK
Louveira,SP,LOUVEIRA/SP,3527306,OK
Aspásia,SP,ASPASIA/SP,3503950,OK
Confins,MG,CONFINS/MG,3117876,OK
Belo Horizonte,MG,BELO HORIZONTE/MG,3106200,OK
Bauru,SP,BAURU/SP,3506003,OK
Rubinéia,SP,RUBINEIA/SP,3544509,OK
Jaraguá do Sul,SC,JARAGUA DO SUL/SC,4208906,OK
Rio Quente,GO,RIO QUENTE/GO,5218789,OK
Vista Gaúcha,RS,VISTA GAUCHA/RS,4323705,OK
Nova Guataporanga,SP,NOVA GUATAPORANGA/SP,3533106,OK
Santa Clara d'Oeste,SP,SANTA CLARA D OESTE/SP,3546108,OK
Santópolis do Aguapeí,SP,SANTOPOLIS DO AGUAPEI/SP,3548401,OK
Borá,SP,BORA/SP,3507209,OK
Guaiçara,SP,GUAICARA/SP,3517208,OK
Goiânia,GO,GOIANIA/GO,5208707,OK
Itaú de Minas,MG,ITAU DE MINAS/MG,3133758,OK
Santana de Parnaíba,SP,SANTANA DE PARNAIBA/SP,3547304,OK
Marília,SP,MARILIA/SP,3529005,OK
Quatro Barras,PR,QUATRO BARRAS/PR,4120804,OK
Jumirim,SP,JUMIRIM/SP,3525854,OK
Jales,SP,JALES/SP,3524808,OK
São João da Mata,MG,SAO JOAO DA MATA/MG,3162302,OK
Votuporanga,SP,VOTUPORANGA/SP,3557105,OK
Engenheiro Coelho,SP,ENGENHEIRO COELHO/SP,3515152,OK
Lavras,MG,LAVRAS/MG,3138203,OK
Antônio Carlos,SC,ANTONIO CARLOS/SC,4201208,OK
Orindiúva,SP,ORINDIUVA/SP,3534203,OK
São João das Duas Pontes,SP,SAO JOAO DAS DUAS PONTES/SP,3549201,OK
Tupandi,RS,TUPANDI/RS,4322251,OK
Americana,SP,AMERICANA/SP,3501608,OK
Mogi das Cruzes,SP,MOGI DAS CRUZES/SP,3530607,OK
Araçatuba,SP,ARACATUBA/SP,3502804,OK
Arco-Íris,SP,ARCO IRIS/SP,3503356,OK
Jacutinga,RS,JACUTINGA/RS,4310900,OK
Uru,SP,URU/SP,3555901,OK
Artur Nogueira,SP,ARTUR NOGUEIRA/SP,3503802,OK
Cordeirópolis,SP,CORDEIROPOLIS/SP,3512407,OK
Botucatu,SP,BOTUCATU/SP,3507506,OK
Lindóia,SP,LINDOIA/SP,3527009,OK
Santos,SP,SANTOS/SP,3548500,OK
Nova Luzitânia,SP,NOVA LUZITANIA/SP,3533304,OK
Cajobi,SP,CAJOBI/SP,3509304,OK
Tarumã,SP,TARUMA/SP,3553955,OK
Indiana,SP,INDIANA/SP,3520608,OK
Indaiatuba,SP,INDAIATUBA/SP,3520509,OK
Tietê,SP,TIETE/SP,3554508,OK
Álvares Machado,SP,ALVARES MACHADO/SP,3501301,OK
Presidente Prudente,SP,PRESIDENTE PRUDENTE/SP,3541406,OK
Ribeirão dos Índios,SP,RIBEIRAO DOS INDIOS/SP,3543238,OK
